name,size,score
RSF + GradientBoosting + Cox + ComponentwiseGB,4,0.7226437172119292
RSF + GradientBoosting + CoxNet + ComponentwiseGB,4,0.722018566766408
RSF + GradientBoosting + Cox,3,0.7217232295196615
RSF + GradientBoosting + Cox + CoxNet + ComponentwiseGB,5,0.7216927820703235
RSF + GradientBoosting + CoxNet,3,0.721480473364074
GradientBoosting + Cox + ComponentwiseGB,3,0.7214756336403808
GradientBoosting + CoxNet + ComponentwiseGB,3,0.7214708645296157
RSF + GradientBoosting + ComponentwiseGB,3,0.7213874341694111
GradientBoosting + ComponentwiseGB,2,0.7213630375972511
RSF + GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,5,0.7212699914051608
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,6,0.7212082581151241
GradientBoosting + Cox + ExtraTrees + ComponentwiseGB,4,0.7211550283857247
GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7208014570406881
RSF + GradientBoosting + Cox + CoxNet,4,0.7207893558139857
RSF + Cox + ComponentwiseGB,3,0.7207850202125015
RSF + GradientBoosting + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7207530295218209
GradientBoosting + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.7205165763846335
RSF + CoxNet + ComponentwiseGB,3,0.7204853717231611
RSF + GradientBoosting + Cox + CoxNet + ExtraTrees,5,0.720452020987872
RSF + GradientBoosting,2,0.7204105950094362
RSF + GradientBoosting + Cox + ExtraTrees,4,0.7202704514137598
GradientBoosting + Cox + ExtraTrees,3,0.7201515981283466
RSF + Cox + CoxNet + ComponentwiseGB,4,0.7200823333306443
GradientBoosting + Cox + CoxNet + ComponentwiseGB,4,0.7200174505331316
GradientBoosting + CoxNet + ExtraTrees,3,0.7199246123847278
GradientBoosting + CoxNet,2,0.7198409814501848
RSF + GradientBoosting + CoxNet + ExtraTrees,4,0.7198200558098338
GradientBoosting + ExtraTrees + ComponentwiseGB,3,0.7196774425867103
RSF + Cox + CoxNet + ExtraTrees + ComponentwiseGB,5,0.71962257696377
RSF + CoxNet,2,0.7194383621702967
GradientBoosting + Cox + CoxNet + ExtraTrees,4,0.7194034057812058
RSF + Cox + ExtraTrees + ComponentwiseGB,4,0.7191118468404478
RSF + GradientBoosting + ExtraTrees + ComponentwiseGB,4,0.7191082462173832
RSF + Cox,2,0.7190780052022846
GradientBoosting + Cox,2,0.7186555773265741
RSF + CoxNet + ExtraTrees + ComponentwiseGB,4,0.7185543931067414
RSF + ComponentwiseGB,2,0.7183544844063509
RSF + Cox + CoxNet + ExtraTrees,4,0.7183368711412927
Cox + ExtraTrees + ComponentwiseGB,3,0.7182873064586947
Cox + CoxNet + ExtraTrees + ComponentwiseGB,4,0.718281155010736
CoxNet + ExtraTrees + ComponentwiseGB,3,0.7179565621753627
GradientBoosting + ExtraTrees,2,0.7178924336633384
RSF + Cox + CoxNet,3,0.7178771050461016
CoxNet + ComponentwiseGB,2,0.7178461086579313
GradientBoosting + Cox + CoxNet,3,0.7173091476652906
RSF + GradientBoosting + ExtraTrees,3,0.7173008751003405
RSF + Cox + ExtraTrees,3,0.7172058766439859
Cox + ComponentwiseGB,2,0.7169766432513901
RSF + CoxNet + ExtraTrees,3,0.7167960441620275
Cox + CoxNet + ComponentwiseGB,3,0.7163096225864178
RSF + ExtraTrees + ComponentwiseGB,3,0.7154932535671846
Cox + CoxNet + ExtraTrees,3,0.7154903042074857
CoxNet + ExtraTrees,2,0.7154121297978625
ComponentwiseGB,1,0.71463752291869
ExtraTrees + ComponentwiseGB,2,0.7144993136608428
Cox + ExtraTrees,2,0.7144944346173762
RSF + ExtraTrees,2,0.7104353361423252
Cox + CoxNet,2,0.7085270895053338
